signal_date,status,strategy_leg,ts_code,name,buy_date,exit_date,account_return,equity_before,equity_after,blocked_by_leg,blocked_by_code,blocked_until,return_source,peak_equity,drawdown,entry_gate_enabled
20240520,EXECUTED,A,300162.SZ,雷曼光电,20240521,20240522,0.4156846673630991,500000.0,707842.3336815495,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),707842.3336815495,0.0,True
20240521,SKIP_OCCUPIED,,,,,,0.0,707842.3336815495,707842.3336815495,A,300162.SZ,20240522,,707842.3336815495,0.0,True
20240522,NO_CANDIDATE,,,,,,0.0,707842.3336815495,707842.3336815495,,,,,707842.3336815495,0.0,True
20240523,EXECUTED,E,300722.SZ,新余国科,20240524,20240527,-0.07002920015698579,707842.3336815495,658272.7012165764,,,,E_R1:23;first_time=1100_1330,707842.3336815495,-0.07002920015698577,True
20240524,SKIP_OCCUPIED,,,,,,0.0,658272.7012165764,658272.7012165764,E,300722.SZ,20240527,,707842.3336815495,-0.07002920015698577,True
20240527,NO_CANDIDATE,,,,,,0.0,658272.7012165764,658272.7012165764,,,,,707842.3336815495,-0.07002920015698577,True
20240528,NO_CANDIDATE,,,,,,0.0,658272.7012165764,658272.7012165764,,,,,707842.3336815495,-0.07002920015698577,True
20240529,NO_CANDIDATE,,,,,,0.0,658272.7012165764,658272.7012165764,,,,,707842.3336815495,-0.07002920015698577,True
20240530,EXECUTED,E,300423.SZ,昇辉科技,20240531,20240604,0.09665643063624264,658272.7012165764,721898.9909014485,,,,E_R1:33;first_time=before_1000,721898.9909014485,0.0,True
20240531,SKIP_OCCUPIED,,,,,,0.0,721898.9909014485,721898.9909014485,E,300423.SZ,20240604,,721898.9909014485,0.0,True
20240603,SKIP_OCCUPIED,,,,,,0.0,721898.9909014485,721898.9909014485,E,300423.SZ,20240604,,721898.9909014485,0.0,True
20240604,NO_CANDIDATE,,,,,,0.0,721898.9909014485,721898.9909014485,,,,,721898.9909014485,0.0,True
20240605,NO_CANDIDATE,,,,,,0.0,721898.9909014485,721898.9909014485,,,,,721898.9909014485,0.0,True
20240606,NO_CANDIDATE,,,,,,0.0,721898.9909014485,721898.9909014485,,,,,721898.9909014485,0.0,True
20240607,NO_CANDIDATE,,,,,,0.0,721898.9909014485,721898.9909014485,,,,,721898.9909014485,0.0,True
20240611,NO_CANDIDATE,,,,,,0.0,721898.9909014485,721898.9909014485,,,,,721898.9909014485,0.0,True
20240612,EXECUTED,E,300956.SZ,英力股份,20240613,20240614,0.06616714860625518,721898.9909014485,769664.9887111303,,,,E_R1:25;first_time=after_1430,769664.9887111303,0.0,True
20240613,SKIP_OCCUPIED,,,,,,0.0,769664.9887111303,769664.9887111303,E,300956.SZ,20240614,,769664.9887111303,0.0,True
20240614,NO_CANDIDATE,,,,,,0.0,769664.9887111303,769664.9887111303,,,,,769664.9887111303,0.0,True
20240617,NO_CANDIDATE,,,,,,0.0,769664.9887111303,769664.9887111303,,,,,769664.9887111303,0.0,True
20240618,NO_CANDIDATE,,,,,,0.0,769664.9887111303,769664.9887111303,,,,,769664.9887111303,0.0,True
20240619,NO_CANDIDATE,,,,,,0.0,769664.9887111303,769664.9887111303,,,,,769664.9887111303,0.0,True
20240620,EXECUTED,A,300469.SZ,信息发展,20240621,20240624,0.05968620659340656,769664.9887111303,815603.3722350547,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),815603.3722350547,0.0,True
20240621,SKIP_OCCUPIED,,,,,,0.0,815603.3722350547,815603.3722350547,A,300469.SZ,20240624,,815603.3722350547,0.0,True
20240624,NO_CANDIDATE,,,,,,0.0,815603.3722350547,815603.3722350547,,,,,815603.3722350547,0.0,True
20240625,NO_CANDIDATE,,,,,,0.0,815603.3722350547,815603.3722350547,,,,,815603.3722350547,0.0,True
20240626,NO_CANDIDATE,,,,,,0.0,815603.3722350547,815603.3722350547,,,,,815603.3722350547,0.0,True
20240627,NO_CANDIDATE,,,,,,0.0,815603.3722350547,815603.3722350547,,,,,815603.3722350547,0.0,True
20240628,NO_CANDIDATE,,,,,,0.0,815603.3722350547,815603.3722350547,,,,,815603.3722350547,0.0,True
20240701,EXECUTED,E,600101.SH,明星电力,20240702,20240704,-0.03156500487769233,815603.3722350547,789858.847812193,,,,E_R1:33;first_time=before_1000,815603.3722350547,-0.031565004877692204,True
20240702,SKIP_OCCUPIED,,,,,,0.0,789858.847812193,789858.847812193,E,600101.SH,20240704,,815603.3722350547,-0.031565004877692204,True
20240703,SKIP_OCCUPIED,,,,,,0.0,789858.847812193,789858.847812193,E,600101.SH,20240704,,815603.3722350547,-0.031565004877692204,True
20240704,NO_CANDIDATE,,,,,,0.0,789858.847812193,789858.847812193,,,,,815603.3722350547,-0.031565004877692204,True
20240705,EXECUTED,E,300417.SZ,南华仪器,20240708,20240710,0.018126729078613568,789858.847812193,804176.4051568304,,,,E_R1:33;first_time=before_1000,815603.3722350547,-0.014010446090861772,True
20240708,SKIP_OCCUPIED,,,,,,0.0,804176.4051568304,804176.4051568304,E,300417.SZ,20240710,,815603.3722350547,-0.014010446090861772,True
20240709,SKIP_OCCUPIED,,,,,,0.0,804176.4051568304,804176.4051568304,E,300417.SZ,20240710,,815603.3722350547,-0.014010446090861772,True
20240710,NO_CANDIDATE,,,,,,0.0,804176.4051568304,804176.4051568304,,,,,815603.3722350547,-0.014010446090861772,True
20240711,NO_CANDIDATE,,,,,,0.0,804176.4051568304,804176.4051568304,,,,,815603.3722350547,-0.014010446090861772,True
20240712,EXECUTED,A,300582.SZ,英飞特,20240715,20240716,0.0304353920828418,804176.4051568304,828651.8293515488,,,,A/C逐日独立候选(显式扣佣金/过户费/印花税),828651.8293515488,0.0,True
20240715,SKIP_OCCUPIED,,,,,,0.0,828651.8293515488,828651.8293515488,A,300582.SZ,20240716,,828651.8293515488,0.0,True
20240716,NO_CANDIDATE,,,,,,0.0,828651.8293515488,828651.8293515488,,,,,828651.8293515488,0.0,True
